text,title
"melbourne , australia – israel 's continue assault on gaza have highlight a hidden yet crucial component of the world 's weapon manufacturing industry – suburban australia .",australia challenged on ‘moral failure’ of weapons trade with israel
nan,us students use graduation to stand with palestine
several antigovernment group in israel have launch a week of resistance against the government .,will israel’s week of resistance make a difference?
"on april 22 , student set up an encampment at the university of michigan to demand the university 's complete and total divestment from genocidal israel . they thus join dozen of other university across the united states in stand up in solidarity with the palestinian people who be face genocide at the hand of the israeli army . israeli force have kill more than 34 , 500 palestinians , include 14 , 500 child , in gaza and nearly 490 , include 124 child , in the occupy west bank .","encamp, divest and keep your eyes on gaza"
nan,‘boycott germany for forcing palestinians to pay for its crimes’
""" do the united states want to be complicit in genocide ? "" this be the question that us leader should be ask themselves as israel 's war on gaza continue , argue columbia university professor jeffrey sachs .",professor jeffrey sachs: ‘us is complicit in israeli genocide’
"in a bid to keep palestinian culture alive , child shelter in rafah , southern gaza , have create stunning picture of historical building destroy in the seven - month israel - palestine war .",palestinian children draw memories of bombed historical buildings
"israel have announce the entry of more than 300 aid truck into gaza , the high daily volume since its war on the besieged territory begin six month ago .",more than 300 aid trucks enter gaza as palestinians battle starvation
"after more than five month of fighting and five veto draft resolution , united nations security council ( unsc ) member on monday successfully pass a resolution call for an immediate ceasefire between israel and hamas in gaza .",will the un ceasefire resolution stop israel’s war on gaza?
"washington , dc – dozen of faith , civil right and progressive group in the united states have express solidarity with university student protest against we support for israel amid the war on gaza .",us advocacy groups back palestine solidarity campus protests amid gaza war
"here be how thing stand on monday , march 25 , 2024 :","is­rael’s war on gaza: list of key events, day 171"
